,SUBBASIN,Landuse Airport Compatibility Residential,Landuse Crossroads Mixed-Use Center,Landuse Downtown Regional Growth Center,Landuse General Commercial,Landuse Heavy Industrial,Landuse Light Industrial,Landuse Low-Scale Residential,Landuse Major Institutional Campus,Landuse Mid-Scale Residential,Landuse Multi-Family (High Density),Landuse Neighborhood Commercial,Landuse Neighborhood Mixed-Use Center,Landuse Parks and Open Space,Landuse Shoreline,Landuse Tacoma Mall Regional Growth Center,Landcover Pasture,Landcover Grass,Landcover Water,Landcover Impervious-roof,Landcover Impervious-nonRoof,Landcover Impervious-total,Age_of_Development,Pavement_Condition,Biodiversity,Urban_Heat,discharge_points
41,NE_02,0.0,0.0,0.0,0.0,0.0,0.0,0.5388386416544955,0.0,0.0,0.0,0.0,0.0,0.37726020375989744,0.0839011545856072,0.0,0.077480793195869,0.20911271786968647,0.016856295620210283,0.10881396165625311,0.12144041570025513,0.23025437735650822,4.962253682312119,72.63303099776938,0.30956836135371185,28.628573187846925,11.0
42,NE_03,0.0,0.0,0.0,0.0,0.001967876206878116,0.0,0.6454308351096385,0.0,0.010791995401936313,0.0,0.006721582788399374,0.0,0.2921813707200201,0.04290633977312769,0.0,0.14288755348504603,0.25294577459355155,0.015357758644492894,0.14369320191061297,0.1524861845418429,0.2961793864524559,4.762443142843874,72.51220377188585,0.13938120946799792,29.072603902875613,45.0
43,NE_04,0.0,0.0,0.0,0.0,0.09320948740466582,0.0,0.4400481125713619,0.0,0.02019854247050663,0.0,0.013501036061228378,0.0,0.38503424043443596,0.04800858105780138,0.0,0.16529948849910853,0.15450656091111264,0.005409317538910384,0.103367796001272,0.18308385846482172,0.2864516544660937,4.965853443555604,68.50199620165183,0.2631177595854057,29.01911788082336,64.0
44,NE_05,0.0,0.0,0.0,0.0,0.7710592125630507,0.0,4.430682189444959e-06,0.0,0.0,0.0,0.0,0.0,0.07850671577597325,0.1504296409787866,0.0,0.20143044843454858,0.36884217517973233,0.012879923033081393,0.023257735034982612,0.23267951265121534,0.25593724768619797,4.990137618337562,78.26889169637325,0.26053965287868414,28.836877182570362,40.0
45,NE_06,0.0,0.0,0.0,0.0,0.849383414318144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15061658568185585,0.0,0.3778489880883257,0.07544743494723959,0.04538062099973314,0.06427025406440212,0.4350883339483201,0.4993585880127222,4.989072187758913,46.477825091642174,0.0,28.706123569257343,17.0
46,NT_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8740748058034801,0.12592519419651996,0.0,0.07488864868135318,0.05900680423075194,0.02299666151087626,0.016078445162513486,0.11257115696086968,0.12864960212338317,4.9712421163934195,45.1023582353288,0.7349526500078853,26.10256451,5.0
47,NT_02,0.0,0.0,0.0,0.00030688889896903534,0.0,0.0,0.7259167198623415,0.0,0.14360001231123537,0.015030162347674705,0.02187116486718334,0.0,0.0599989843610393,0.03327606735155669,0.0,0.22456412661893574,0.1699708830026771,0.008060323611066258,0.18195765332957226,0.3307375274355703,0.5126951807651425,4.995870224414905,71.79629208007665,0.009825521865287852,28.20273141429861,16.0
48,NT_03,0.0,0.0,0.0,0.0,0.0,0.0,0.7378333641496494,0.0,0.037526709098091034,0.0,0.013945121541102565,0.0,0.10768918311699407,0.1030056220941629,0.0,0.21915487304791406,0.15366273785916304,0.018694438641364892,0.16141277371824359,0.32440520762120967,0.48581798133945325,4.9968965620886845,61.50710584928232,0.06090200711423849,28.189469134903685,17.0
49,NT_04,0.0,0.0,0.0,0.0,0.0,0.0,0.26922772596725714,0.0,0.0,0.0,0.0,0.0,0.5693628027187829,0.16140947131396005,0.0,0.10021232090918501,0.11262496416777716,0.046592966668008065,0.06873155007442895,0.14377849587423455,0.21251004594866352,4.994480131178058,52.221397157688834,0.344571672658246,27.040896222407753,25.0
50,NT_05,0.0,0.0,0.0,0.0015794388476915665,0.0,0.0,0.7969223247124544,0.02480707508156742,0.06857205201411379,0.0,0.017342665126472596,0.028920446506125044,0.0600711508658968,0.0017848468456784913,0.0,0.20505636380334136,0.18659236417710745,0.0007056659198385657,0.18531790062470718,0.2889594587587319,0.47427735938343907,4.997690093281039,60.12336811406081,0.033840376801639295,28.955793662143776,7.0
51,NT_06,0.0,0.0,0.0,0.0,0.0,0.0,0.6865565371786088,0.0,0.0,0.0,0.0,0.0,0.1551529186713371,0.15829054415005422,0.0,0.1601378169955114,0.17418796727120453,0.03819127194609806,0.14302722411462385,0.26174921039778243,0.4047764345124063,4.930890128730634,54.32022078905041,0.08364606643715797,27.810533139076767,1.0
52,NT_07,0.0,0.0,0.0,0.003438759123881222,0.0,0.0,0.6511780991106572,0.05862792565243978,0.12905424725021739,0.0,0.024399874553557875,0.07513045792501177,0.053429237401987115,0.004741398982247634,0.0,0.22356904397230465,0.14316293004579328,0.0006550284777904191,0.2310069019793011,0.2635740547648518,0.4945809567441529,4.999743349066374,52.41367802129763,0.02270433218165004,29.223466961863114,11.0
53,NT_08,0.0,0.0,0.0,0.0,0.0,0.0,0.7412491175777088,0.0,0.03724034544212712,0.010107042990112251,0.08027445571831038,0.0,0.0675285320009011,0.06360050627084021,0.0,0.24881607045216336,0.16516666686431775,0.03248930129486095,0.2034687293672123,0.2640007922900409,0.4674695216572532,4.9851589795538676,54.70421795333,0.0034528688052410804,26.47251310073508,4.0
54,NT_09,0.0,0.0,0.032840961926484565,0.0,0.0,0.0,0.607234849582489,0.0,0.11953336150249431,0.0,0.01739824313802184,0.0,0.17576792851451623,0.04722465533599406,0.0,0.13535678896764503,0.1810082586564384,0.02372071107410474,0.17275285527151807,0.2460266301903945,0.41877948546191257,4.994413337658653,42.70324914694854,0.08839961433795242,27.506596617910866,3.0
55,NT_10,0.0,0.0,0.25053680251988664,0.0,0.0,0.0,0.16387734314045713,0.208366086733749,0.07137070136121922,0.025893793680312974,0.05940644467926273,0.014443982817427944,0.16556785708867996,0.04053698797900449,0.0,0.1941942688417365,0.06565799904406135,0.007794774270029364,0.22644664562091565,0.3555874292869869,0.5820340749079025,4.9923373147021675,48.35950843033379,0.03181054590314001,29.52007202997673,5.0
56,NT_11,0.0,0.0,0.7170129241102767,0.0,0.0,0.0,0.0,1.9814907712640897e-07,0.0,0.0038559520004467487,0.0,0.0,0.16382640659356923,0.11530451914663016,0.0,0.12457196123581979,0.015756223149953313,0.009834256256623345,0.21191384362390084,0.5036264039498947,0.7155402475737955,4.9986299828404634,57.042356819151266,0.10578825491610945,28.775299461195623,6.0
57,TF_01,0.0,0.0,0.0,0.0,0.6949745275749217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30502547242507827,0.0,0.25197946066834925,0.04982413902238743,0.08723009023975158,0.18800179980029244,0.41806817236152566,0.6060699721618181,4.976685073384856,36.97336858476185,0.0,28.70343002,1.0
58,TF_02,0.0,0.0,0.0,0.0,0.8653842235536117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13461577644638842,0.0,0.04637639788739589,0.009194560387295426,0.012575526032944892,0.07885338027895887,0.8364922083007682,0.915345588579727,4.990760675232137,49.72808203382578,0.0,28.70343002,3.0
59,TF_03,0.0,0.0,0.0,0.0,0.8603837522901793,0.0034716853615755928,0.0,0.0,0.0,0.0,0.0,0.0,0.015179438399819042,0.12096512394842615,0.0,0.08832336573090674,0.03202184167956578,0.01776729334314517,0.09238642529979009,0.7534891650339122,0.8458755903337023,4.989748913190896,64.7081256174578,0.0049596704207334145,28.741516106974235,44.0
60,TF_04,0.0,0.0,0.0,0.0,0.9536337428748546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04636625712514543,0.0,0.07586471208405829,0.0379413000897148,0.006765365004172379,0.06225308596202694,0.8161636540434064,0.8784167400054333,4.982257159629245,58.68111212074043,0.0,29.046688171496854,20.0
61,TF_05,0.0,0.0,0.0,0.0,0.8590657197107404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07296816176909712,0.06796611852016243,0.0,0.16460984759370595,0.1992326242488936,0.01370905086037464,0.006987338400766421,0.5987954783984633,0.6057828167992296,4.988884892688236,64.56112273025946,0.0,29.04655571302183,16.0
62,TF_06,0.0,0.0,0.0,0.0,0.848769038582426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1512309614175739,0.0,0.1338010807975797,0.14322586929657527,0.0703563938845458,0.06500814000611775,0.5665738224604583,0.631581962466576,4.98443925191769,42.72513950380921,0.0,28.70343002,15.0
63,WS_01,0.0,0.031092099882609223,0.0,0.0,0.0,0.0,0.3003430597539157,0.0,0.048392834716925875,0.0,0.0,0.0,0.5191192065783389,0.10105279906821045,0.0,0.10809174062064672,0.09467427760561024,0.014168794483683033,0.07494384122129966,0.1249060516742755,0.19984989289557514,4.988112117365744,71.72543348247595,0.5398298066873554,27.222687330359157,7.0
64,WS_02,0.0,0.0,0.0,0.0,0.0,0.0,0.721843148599506,0.0,0.0013762507102943148,0.0,0.0,0.0,0.18935102840570234,0.08742957228449726,0.0,0.20426662301860227,0.13447163732352255,0.014229092235751568,0.16558235385706702,0.1951044376561665,0.3606867915132335,4.9998655156210186,74.09216456466649,0.15912593356717017,27.787338502795514,1.0
65,WS_03,0.0,0.0206545475522072,0.0,0.0004151928781509993,0.0,0.0,0.6203211158392449,0.00034103815008922316,0.11713873011446398,0.0,0.0007915159574248013,0.08170547702431673,0.1172851481543165,0.04134723432978559,0.0,0.19979044498275397,0.18709027848001958,0.016137863376924595,0.1637317105910781,0.28724210935220157,0.4509738199432797,4.9403736318993285,62.78055262723026,0.07729475917151434,28.31637360156362,11.0
66,WS_04,0.0,0.002798810993920608,0.0,0.003251751428543973,0.0,0.0,0.6827308589969854,0.0,0.14073628685522702,0.0,0.0019889770887935995,0.0,0.09255439769759669,0.07593891693893272,0.0,0.1535763151290101,0.292260476068364,0.018059998731082137,0.17327610866475593,0.236204041118545,0.40948014978330094,4.985978227596986,56.393970317419445,0.09038235271236834,28.01956439173914,29.0
