vol_cuft,size_fraction,ddt_hr,capture_fraction
2000.0,0.0293,480,0.009
3000.0,0.044,480,0.0127
4000.0,0.0587,480,0.0171
5000.0,0.0733,480,0.0214
10000.0,0.1466,480,0.042
15000.0,0.22,480,0.0622
20000.0,0.2933,480,0.0818
25000.0,0.3666,480,0.1008
30000.0,0.4399,480,0.1194
55000.0,0.8066,480,0.2057
80000.0,1.1732,480,0.2837
105000.0,1.5398,480,0.3553
130000.0,1.9064,480,0.4197
155000.0,2.273,480,0.4788
180000.0,2.6397,480,0.5318
205000.0,3.0063,480,0.5807
230000.0,3.3729,480,0.6262
255000.0,3.7395,480,0.6678
280000.0,4.1061,480,0.7047
305000.0,4.4728,480,0.7379
,0.0,720,0.0
1000.0,0.0147,720,0.0032
2000.0,0.0293,720,0.0063
3000.0,0.044,720,0.0094
4000.0,0.0587,720,0.0118
5000.0,0.0733,720,0.0149
10000.0,0.1466,720,0.03
15000.0,0.22,720,0.0443
20000.0,0.2933,720,0.0584
25000.0,0.3666,720,0.0723
30000.0,0.4399,720,0.0866
55000.0,0.8066,720,0.1517
80000.0,1.1732,720,0.2121
105000.0,1.5398,720,0.2678
130000.0,1.9064,720,0.3211
155000.0,2.273,720,0.3707
180000.0,2.6397,720,0.4161
205000.0,3.0063,720,0.4598
230000.0,3.3729,720,0.5011
255000.0,3.7395,720,0.54
280000.0,4.1061,720,0.5759
305000.0,4.4728,720,0.6107
