,node_id,altid,facilitytype,commonname,facilitydetail,flowcontrol,infiltrated,waterquality,flowcontroltype,waterqualitytype,facility_type,design_storm_depth_inches,tributary_area_tc_min,total_volume_cuft,area_sqft,inf_rate_inhr,retention_volume_cuft,media_filtration_rate_inhr,hsg,minimum_retention_pct_override,treatment_rate_cfs,depth_ft,captured_pct,retained_pct
314,SWFA-100438,SWFA-100438,Pond,Wilson High School,Detention,,,,,,wet_pond_simple,,,,,,,,,,,,91,0
315,SWFA-100441,SWFA-100441,Pond,WSDOT 00000359 SR-16 at 19th,Combined,,,,,Basic,wet_pond_simple,,,,,,,,,,,,91,0
316,SWFA-100442,SWFA-100442,Pond,WSDOT 00000372 SR-16 Orchard,Detention,,,,,,wet_pond_simple,,,,,,,,,,,,91,0
317,SWFA-100443,SWFA-100443,Swale,Cheney Stadium,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
318,SWFA-100446,SWFA-100446,Pond,OAKLAND HIGH SCHOOL,Detention,,,,,,wet_pond_simple,,,,,,,,,,,,91,0
319,SWFA-100451,SWFA-100451,Bioretention,Norpoint Park,,,Partial,,,Basic,bioretention_with_partial_infiltration_simple,,,,,,,,,,,,91,20
320,SWFA-100452,SWFA-100452,Bioretention,Norpoint Park,,,Partial,,,Basic,bioretention_with_partial_infiltration_simple,,,,,,,,,,,,91,20
321,SWFA-100449,SWFA-100449,Pump Station,Leach Creek Pump Station,,,,,,,no_treatment,,,,,,,,,,,,91,0
322,SWFA-100453,SWFA-100453,Bioretention,Norpoint Park,,,Partial,,,Basic,bioretention_with_partial_infiltration_simple,,,,,,,,,,,,91,20
323,SWFA-100454,SWFA-100454,Swale,Meeker Middle & Crescent Heights Elem,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
324,SWFA-100459,SWFA-100459,Pond,3400 Taylor Way,Detention,,,,Wetland,,wet_pond_simple,,,,,,,,,,,,91,0
325,SWFA-100462,SWFA-100462,Pond,SR 509 N Frontage Road Ramp,,,,,,Basic,wet_pond_simple,,,,,,,,,,,,91,0
326,SWFA-100463,SWFA-100463,Pond,,Wet,,,,,Basic,wet_pond_simple,,,,,,,,,,,,91,0
327,SWFA-100465,SWFA-100465,Pond,5417 N Court St,Detention,,,,,,wet_pond_simple,,,,,,,,,,,,91,0
328,SWFA-100473,SWFA-100473,Pond,WSDOT Narrows Bridge,Wet,,,,,Basic,wet_pond_simple,,,,,,,,,,,,91,0
329,SWFA-100478,SWFA-100478,Media Filter,Pacific Charter School,Stormfilter,,,,,Basic,media_filter_simple,,,,,,,,,,,,91,0
330,SWFA-100480,SWFA-100480,Pond,MOUNT TAHOMA HIGH SCHOOL,Wet,,,,,Basic,wet_pond_simple,,,,,,,,,,,,91,0
331,SWFA-100481,SWFA-100481,Pond,MOUNT TAHOMA HIGH SCHOOL,Wet,,,,,Basic,wet_pond_simple,,,,,,,,,,,,91,0
332,SWFA-100504,SWFA-100504,Pump Station,Fleet Creek Pump Station,,,,,,,no_treatment,,,,,,,,,,,,91,0
333,SWFA-100510,SWFA-100510,Swale,,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
334,SWFA-100526,SWFA-100526,Pond,E 21st,Wet,,,,,,wet_pond_simple,,,,,,,,,,,,91,0
335,SWFA-100529,SWFA-100529,Pond,WSDOT SR-509 E D ST,Detention,,,,Wetland,,wet_pond_simple,,,,,,,,,,,,91,0
336,SWFA-100531,SWFA-100531,Pond,Gray Middle School,Wet,,,,,Basic,wet_pond_simple,,,,,,,,,,,,91,0
337,SWFA-100532,SWFA-100532,Media Filter,Sound Transit,Stormfilter,,,,,Basic,media_filter_simple,,,,,,,,,,,,91,0
338,SWFA-100533,SWFA-100533,Media Filter,Sound Transit,Stormfilter,,,,,Basic,media_filter_simple,,,,,,,,,,,,91,0
339,SWFA-100543,SWFA-100543,Vault,,Conveyance,,,,,,no_treatment,,,,,,,,,,,,91,0
